age,job,marital,education,balance,duration
55.0,unemployed,married,tertiary,383,343
37.0,admin.,single,secondary,569,126
38.0,housemaid,married,secondary,0,59
48.0,admin.,married,secondary,3754,249
55.0,housemaid,divorced,tertiary,6920,406
59.0,services,married,secondary,307,250
37.0,technician,married,secondary,-421,183
33.0,blue-collar,divorced,secondary,60,190
44.0,blue-collar,married,primary,67,220
57.0,technician,married,secondary,402,153
30.0,self-employed,single,tertiary,800,95
42.0,technician,married,tertiary,239,191
51.0,blue-collar,divorced,secondary,421,216
44.0,admin.,divorced,secondary,161,89
46.0,technician,married,secondary,289,51
29.0,student,single,secondary,110,169
39.0,blue-collar,married,primary,245,148
42.0,services,married,secondary,0,zero
50.0,blue-collar,married,primary,156,117
42.0,technician,single,secondary,0,275
39.0,admin.,married,secondary,20,124
55.0,technician,single,tertiary,92,118
46.0,services,married,secondary,89,479
42.0,blue-collar,married,secondary,166,285
45.0,management,married,tertiary,103,35
43.0,blue-collar,married,primary,-454,322
42.0,admin.,married,secondary,445,202
30.0,admin.,married,secondary,4,172
47.0,blue-collar,married,secondary,1001,201
51.0,services,divorced,secondary,-69,216
38.0,technician,single,secondary,42,195
57.0,technician,married,unknown,1617,96
42.0,management,divorced,tertiary,221,720
32.0,technician,divorced,secondary,210,188
46.0,management,married,tertiary,0,70
29.0,student,single,tertiary,185,141
59.0,retired,married,secondary,836,106
32.0,blue-collar,single,secondary,301,395
44.0,blue-collar,married,primary,503,629
40.0,retired,married,primary,407,502
31.0,blue-collar,single,secondary,53,446
46.0,self-employed,married,tertiary,2303,241
43.0,management,married,tertiary,144,131
34.0,services,married,secondary,205,312
39.0,management,married,tertiary,305,275
30.0,blue-collar,divorced,secondary,251,120
56.0,retired,married,secondary,0,333
29.0,technician,married,secondary,8,113
40.0,blue-collar,divorced,secondary,139,91
36.0,services,married,secondary,184,128
37.0,blue-collar,single,secondary,238,200
35.0,admin.,married,secondary,0,326
35.0,blue-collar,married,primary,0,292
47.0,services,married,primary,222,68
31.0,services,married,secondary,414,215
56.0,retired,single,primary,223,97
57.0,technician,married,secondary,197,32
36.0,blue-collar,married,secondary,-251,162
45.0,self-employed,divorced,secondary,-139,152
47.0,blue-collar,married,unknown,733,268
29.0,technician,single,tertiary,0,104
57.0,services,married,secondary,1,852
45.0,blue-collar,married,primary,97,923
31.0,blue-collar,single,primary,435,159
31.0,management,divorced,tertiary,0,953
37.0,technician,single,tertiary,147,416
30.0,technician,single,tertiary,3,174
58.0,services,divorced,secondary,1109,180
33.0,services,married,secondary,404,139
39.0,blue-collar,married,primary,981,294
33.0,blue-collar,single,primary,95,102
34.0,services,married,secondary,302,124
36.0,services,divorced,secondary,-290,128
37.0,services,single,secondary,259,130
35.0,blue-collar,married,secondary,527,143
55.0,retired,married,secondary,102,74
34.0,management,single,tertiary,872,105
40.0,management,divorced,tertiary,490,477
42.0,blue-collar,single,primary,19,158
37.0,blue-collar,married,secondary,16,250
42.0,management,married,tertiary,386,168
35.0,technician,single,secondary,539,520
44.0,technician,divorced,secondary,-329,171
30.0,services,single,secondary,-174,113
45.0,entrepreneur,married,secondary,68,254
35.0,blue-collar,single,unknown,-532,149
36.0,admin.,divorced,secondary,0,133
49.0,blue-collar,married,secondary,64,293
31.0,blue-collar,single,secondary,1415,485
31.0,technician,single,secondary,147,374
39.0,blue-collar,married,secondary,72,425
37.0,services,single,secondary,-196,207
33.0,blue-collar,married,primary,716,83
37.0,management,married,tertiary,0,228
42.0,services,married,secondary,-246,149
56.0,blue-collar,married,secondary,-203,139
37.0,admin.,single,secondary,245,732
36.0,services,single,secondary,342,142
29.0,technician,single,tertiary,3,359
54.0,management,married,tertiary,-248,112
38.0,blue-collar,married,secondary,376,1521
43.0,blue-collar,divorced,secondary,370,216
47.0,admin.,single,secondary,594,161
47.0,blue-collar,married,secondary,387,122
38.0,services,married,secondary,208,800
40.0,blue-collar,married,secondary,563,615
33.0,services,divorced,secondary,392,254
33.0,retired,married,secondary,165,111
53.0,admin.,divorced,unknown,236,354
37.0,services,married,primary,52,359
40.0,management,single,tertiary,1265,97
37.0,blue-collar,married,primary,693,327
35.0,technician,married,secondary,118,236
49.0,blue-collar,married,primary,3659,160
26.0,blue-collar,single,secondary,24,180
38.0,management,single,tertiary,673,184
52.0,self-employed,married,secondary,273,227
33.0,services,divorced,secondary,327,109
31.0,admin.,single,secondary,299,492
32.0,blue-collar,married,secondary,0,298
35.0,blue-collar,single,primary,109,83
55.0,management,divorced,tertiary,552,241
32.0,blue-collar,divorced,primary,473,204
37.0,unknown,single,unknown,414,131
45.0,blue-collar,married,secondary,154,1138
31.0,technician,married,secondary,344,123
38.0,admin.,married,secondary,8,125
37.0,services,married,secondary,78,zero
38.0,blue-collar,married,secondary,266,287
33.0,housemaid,married,tertiary,98,109
38.0,blue-collar,married,primary,83,140
37.0,management,single,tertiary,45,204
29.0,unemployed,married,tertiary,8,233
42.0,management,married,tertiary,263,254
40.0,blue-collar,married,secondary,306,184
32.0,management,married,tertiary,233,193
47.0,management,divorced,tertiary,447,126
29.0,student,single,secondary,872,230
53.0,services,divorced,primary,-291,591
31.0,services,married,tertiary,309,294
59.0,blue-collar,married,secondary,202,173
29.0,entrepreneur,married,primary,56,336
59.0,blue-collar,married,primary,229,19
44.0,blue-collar,married,primary,143,153
38.0,admin.,single,secondary,100,786
49.0,admin.,married,secondary,326,99
43.0,blue-collar,married,secondary,167,243
52.0,admin.,single,secondary,545,260
40.0,admin.,married,secondary,2100,164
32.0,services,married,secondary,0,255
47.0,admin.,married,primary,192,47
33.0,management,married,tertiary,442,463
35.0,management,married,tertiary,267,192
27.0,services,single,secondary,0,388
50.0,blue-collar,married,primary,377,221
44.0,retired,married,secondary,7624,126
43.0,self-employed,married,primary,66,175
51.0,blue-collar,married,unknown,37,256
32.0,admin.,single,secondary,64,202
47.0,management,divorced,tertiary,34,104
34.0,admin.,divorced,secondary,627,283
57.0,self-employed,married,primary,1013,448
43.0,admin.,single,secondary,140,127
40.0,services,single,tertiary,8823,378
28.0,blue-collar,single,secondary,97,67
38.0,blue-collar,married,unknown,5,221
37.0,unemployed,divorced,secondary,74,150
44.0,admin.,married,secondary,58544,144
41.0,technician,married,secondary,169,296
37.0,self-employed,married,tertiary,444,401
30.0,services,single,tertiary,542,435
32.0,blue-collar,married,secondary,-205,388
30.0,management,single,tertiary,112,245
35.0,services,married,secondary,39,143
55.0,blue-collar,married,secondary,1268,223
52.0,blue-collar,married,secondary,-98,423
33.0,admin.,married,secondary,44,231
55.0,retired,married,primary,-90,634
33.0,blue-collar,married,secondary,0,107
40.0,blue-collar,married,secondary,-94,227
39.0,blue-collar,married,secondary,-345,69
54.0,blue-collar,married,secondary,-932,799
39.0,blue-collar,married,primary,20,109
49.0,blue-collar,married,secondary,90,127
52.0,admin.,married,secondary,31,120
27.0,management,single,tertiary,134,68
26.0,services,married,secondary,0,180
40.0,blue-collar,married,secondary,61,112
47.0,blue-collar,married,secondary,-5,444
31.0,services,single,secondary,-45,246
53.0,blue-collar,single,secondary,156,259
31.0,services,married,secondary,564,223
33.0,admin.,married,secondary,-6,566
35.0,services,married,secondary,528,274
46.0,entrepreneur,married,unknown,1481,49
31.0,management,married,secondary,2019,380
35.0,technician,single,secondary,1855,138
29.0,management,married,secondary,147,376
51.0,technician,married,secondary,220,421
33.0,blue-collar,married,primary,198,121
37.0,management,married,tertiary,115,36
43.0,admin.,single,unknown,87,328
42.0,technician,married,tertiary,644,19
28.0,blue-collar,married,secondary,225,866
57.0,retired,married,secondary,502,229
38.0,services,married,secondary,-32,154
39.0,blue-collar,married,primary,106,56
36.0,technician,married,tertiary,301,1581
57.0,retired,married,tertiary,906,117
44.0,management,married,unknown,187,185
48.0,services,divorced,secondary,852,202
46.0,blue-collar,married,primary,143,279
43.0,admin.,married,secondary,71,180
49.0,services,married,secondary,1496,218
29.0,services,single,secondary,703,129
53.0,blue-collar,married,secondary,732,530
30.0,services,single,secondary,21,104
41.0,management,divorced,secondary,276,60
33.0,technician,married,secondary,0,432
47.0,blue-collar,married,primary,550,113
58.0,retired,married,secondary,268,516
31.0,unemployed,married,secondary,-825,179
38.0,admin.,single,secondary,137,125
60.0,retired,married,secondary,42,386
33.0,management,single,tertiary,54,262
33.0,unemployed,single,tertiary,1716,396
52.0,admin.,married,primary,270,294
42.0,blue-collar,married,primary,803,171
30.0,technician,single,secondary,102,614
33.0,entrepreneur,divorced,tertiary,188,118
46.0,admin.,divorced,secondary,207,485
51.0,blue-collar,married,primary,1466,406
40.0,unemployed,single,secondary,350,287
50.0,admin.,married,secondary,159,216
42.0,entrepreneur,married,tertiary,157,650
38.0,technician,married,secondary,0,55
36.0,admin.,single,primary,91,371
37.0,unemployed,divorced,primary,849,zero
33.0,management,married,tertiary,436,48
38.0,blue-collar,single,secondary,-1,72
52.0,blue-collar,married,tertiary,297,55
29.0,blue-collar,married,secondary,313,144
37.0,blue-collar,married,primary,310,474
34.0,admin.,married,secondary,475,559
43.0,blue-collar,married,primary,61,261
49.0,services,married,secondary,1377,1101
33.0,technician,single,secondary,56,236
,admin.,married,unknown,0,164
,technician,married,secondary,73,93
,blue-collar,single,primary,660,912
,services,married,primary,-79,179
,blue-collar,divorced,secondary,558,485
,services,single,secondary,342,206
,blue-collar,married,unknown,-4,311
,blue-collar,married,unknown,225,690
,blue-collar,married,primary,267,362
,services,married,primary,46,274
,blue-collar,married,primary,624,163
,technician,divorced,secondary,1107,345
,admin.,single,secondary,573,329
,management,single,tertiary,406,68
,services,divorced,secondary,220,143
,blue-collar,married,secondary,2308,1062
,blue-collar,divorced,primary,139,71
,admin.,married,secondary,367,106
,entrepreneur,divorced,primary,278,688
,blue-collar,married,primary,229,103
,entrepreneur,married,tertiary,1722,349
,technician,married,secondary,-500,78
,admin.,divorced,secondary,308,194
,technician,divorced,tertiary,1026,224
,blue-collar,single,primary,548,98
,blue-collar,married,secondary,356,607
,technician,married,primary,164,398
,management,married,tertiary,211,103
,blue-collar,married,primary,19,241
,blue-collar,married,secondary,108,203
,management,married,tertiary,308,96
,services,divorced,secondary,7,238
,technician,married,tertiary,16,153
,blue-collar,married,primary,867,481
,blue-collar,single,secondary,277,2177
,blue-collar,divorced,primary,196,119
,blue-collar,single,primary,365,245
,blue-collar,divorced,secondary,1310,152
,technician,married,secondary,186,418
,services,single,primary,148,198
,blue-collar,married,primary,862,198
,admin.,married,secondary,359,374
,blue-collar,married,primary,190,51
,blue-collar,married,secondary,4,263
,admin.,divorced,secondary,0,229
,blue-collar,married,secondary,42,154
,management,single,tertiary,2605,278
,technician,single,tertiary,60,306
,management,married,primary,98,114
,technician,single,secondary,-181,94
,technician,married,secondary,118,208
,blue-collar,married,secondary,-15,169
,student,single,secondary,671,332
,blue-collar,married,secondary,1557,263
,blue-collar,married,primary,-20,353
,blue-collar,married,primary,323,108
,blue-collar,married,primary,-171,441
,blue-collar,married,secondary,438,46
,blue-collar,married,secondary,316,266
,services,single,secondary,174,223
,blue-collar,married,secondary,442,105
,technician,married,secondary,786,165
,technician,divorced,tertiary,-317,381
,blue-collar,married,secondary,667,228
,services,single,secondary,-158,128
,management,married,tertiary,72,764
,entrepreneur,married,primary,58,113
,services,divorced,secondary,396,396
,blue-collar,married,primary,10,133
,management,single,unknown,2887,42
,management,married,secondary,0,234
,admin.,married,secondary,89,297
,unknown,single,primary,50,50
,blue-collar,single,secondary,29,214
,blue-collar,married,primary,420,110
,services,single,primary,114,99
,housemaid,married,secondary,365,274
,blue-collar,single,secondary,0,191
,management,married,primary,-24,305
,technician,married,tertiary,743,134
,self-employed,married,primary,0,112
,technician,single,secondary,99,283
,blue-collar,married,secondary,22,353
,blue-collar,married,primary,251,212
,blue-collar,married,secondary,615,225
,admin.,married,primary,136,283
,blue-collar,single,unknown,2167,1273
,blue-collar,married,secondary,309,1574
,technician,married,secondary,221,139
,blue-collar,married,primary,321,228
